,Ubicazione,Tipo via,Nome via,Civico,Codice via,Municipio,Camere,Camere piano,Stelle,Insegna,Piani totali,Piano piano,Posti letto,Posti letto per piano,Tipo struttura
150,VIA FILZI FABIO N. 3 (z.d. 2),VIA,FILZI FABIO,3,1190.0,2,67.0,5;29;10;10;10;4,4,hotel marconi,6.0,T;1;2;3;4;5,98.0,6;42;15;15;15;4,Albergo
151,VIA FILZI FABIO N. 43 (z.d. 2),VIA,FILZI FABIO,43,1190.0,2,71.0,7;13;13;13;13;13;11,3,nuovo monopole,,1;2;3;4;5;6;7,125.0,11;17;17;17;17;17;16,Albergo
152,VIA FILZI FABIO num.025/a ; (z.d. 2),VIA,FILZI FABIO,25/a,1190.0,2,144.0,4;9;9;9;9;9;9;9;9;9,4,una hotel century,17.0,1;2;3;4;5;6;7;8;9;0,288.0,10;23;23;23;23;23;23;23;23;23,Albergo
153,VIA FINOCCHIARO APRILE N. 11 (z.d. 2),VIA,FINOCCHIARO APRILE,11,2120.0,2,49.0,13;13;13,3,albergo sempione,,1;2;3,101.0,19;19;19,Albergo
154,VIA FINOCCHIARO APRILE N. 2 (z.d. 2),VIA,FINOCCHIARO APRILE,2,2120.0,2,439.0,0,3,hotel ibis milano centro,,,636.0,0,Albergo
155,VIA F.LLI GABBA N. 7 (z.d. 1),VIA,F.LLI GABBA,7,146.0,1,59.0,0,,bulgari hotels  E  resorts milano,,,118.0,0,Albergo
156,VIA FLUMENDOSA N. 35 (z.d. 2),VIA,FLUMENDOSA,35,2522.0,2,43.0,7;9,3,hotel agape,5.0,T;1;2;3;4,75.0,13;16,Albergo
157,VIA FORCELLA VINCENZO N. 6 (z.d. 6),VIA,FORCELLA VINCENZO,6,5127.0,6,28.0,,,MAGNA PARS SUITES MILANO,,,60.0,,Albergo
158,VIA FRA' GALGARIO N. 4 (z.d. 7),VIA,FRA' GALGARIO,4,6607.0,7,10.0,,1,hotel emmy,,,20.0,,Albergo
159,VIA FRA' GALGARIO N. 4 (z.d. 7),VIA,FRA' GALGARIO,4,6607.0,7,12.0,0,1,hotel gambara,1.0,,24.0,0,Albergo
160,VIA FRASSINETTI ROMEO N. 2 (z.d. 7),VIA,FRASSINETTI ROMEO,2,6563.0,7,25.0,0,4,residence osoppo,,,77.0,0,Residence
161,VIA FUMAGALLI ANGELO CARLO N. 4 (z.d. 6),VIA,FUMAGALLI ANGELO CARLO,4,5149.0,6,103.0,24;16;15,4,art hotel navigli,5.0,1;2;3;4;5,205.0,48;31;30,Albergo
162,VIA GAFFURIO FRANCHINO N. 1 (z.d. 3),VIA,GAFFURIO FRANCHINO,1,2138.0,3,19.0,,1,calipso,,,32.0,,Albergo
163,VIA GAGGIA PIETRO N. 3 (z.d. 4),VIA,GAGGIA PIETRO,3,4187.0,4,259.0,,4,starhotels business palace,,,468.0,,Albergo
164,VIA GALILEI GALILEO N. 2 (z.d. 2),VIA,GALILEI GALILEO,2,1102.0,2,103.0,18;18;18;18;18;27;17,4,hotel windsor,,1;2;3;4;5;8;7,196.0,27;27;27;27;27;18;27,Albergo
165,VIA GALLARATE N. 2 (z.d. 8),VIA,GALLARATE,2,7420.0,8,17.0,0,2,hotel bel sit,,,25.0,0,Albergo
166,VIA GALLINA GIACINTO N. 12 (z.d. 3),VIA,GALLINA GIACINTO,12,3105.0,3,54.0,,4,zefiro,5.0,,92.0,,Albergo
167,VIA GALLI RICCARDO N. 8 (z.d. 8),VIA,GALLI RICCARDO,8,6405.0,8,27.0,7;;6;,3,HOTEL LIDO,4.0,R;1;M;2,36.0,10;;6;,Albergo
168,VIA GALVANI LUIGI N. 12 (z.d. 2),VIA,GALVANI LUIGI,12,1179.0,2,320.0,46;67;68;47;51;23;20;10,4,hilton milan,8.0,2;3;4;5;6;7;8;9,469.0,61;88;87;63;66;44;35;17,Albergo
169,VIA GASPAROTTO LEOPOLDO N. 8 (z.d. 2),VIA,GASPAROTTO LEOPOLDO,8,1205.0,2,97.0,25;28;9;10;0;26,4,hotel madison,,2;1;R;4;;3,150.0,34;38;25;20;0;33,Albergo
170,VIA GESU' N. 10 (z.d. 1),VIA,GESU',10,227.0,1,118.0,18;35;34;11,5,four season hotel milan,4.0,T;1;2;3,240.0,36;70;68;22,Albergo
171,VIA GHIBERTI LORENZO N. 1 (z.d. 7),VIA,GHIBERTI LORENZO,1,6542.0,7,16.0,,3,residence portello,,,32.0,,Residence
172,VIA GIAMBELLINO N. 9 (z.d. 6),VIA,GIAMBELLINO,9,5136.0,6,9.0,9,2,residence giambellino di laura fiamberti,,,18.0,18,Residence
173,VIA GIOIA MELCHIORRE N. 6 (z.d. 9),VIA,GIOIA MELCHIORRE,6,1108.0,9,99.0,0,4,grand hotel verdi,,,198.0,0,Albergo
174,VIA GIOIA MELCHIORRE N. 73 (z.d. 2),VIA,GIOIA MELCHIORRE,73,1108.0,2,109.0,0,4,crowne plaza milan city,,,218.0,0,Albergo
175,VIA GIULINI GIORGIO N. 6 (z.d. 1),VIA,GIULINI GIORGIO,6,613.0,1,10.0,0,4,camperio house hotel  E  residence,,,20.0,0,Albergo
176,VIA GIUSTI GIUSEPPE N. 6 (z.d. 1),VIA,GIUSTI GIUSEPPE,6,7127.0,1,72.0,6;20;20;22;22;18;18;6,3,giusti 6,7.0,R;1;2;3;4;5;6;7,169.0,13;48;48;54;54;48;48;6,Residence
177,VIA GOLDONI CARLO N. 31 iniziale; (z.d. 6),VIA,GOLDONI CARLO,31,3183.0,6,18.0,0,4,hotel town house 31,,,32.0,0,Albergo
178,VIA GOLDONI CARLO N. 31 (z.d. 6),VIA,GOLDONI CARLO,31,3183.0,6,18.0,3;6;6;3,1,jolie,4.0,T;1;2;3,28.0,4;9;9;6,Albergo
179,VIA GOLDONI CARLO N. 84 3 e 4 piano; (z.d. 6),VIA,GOLDONI CARLO,84,3183.0,6,14.0,0,3,royal,,,25.0,0,Albergo
180,VIA GOLDONI CARLO N. 84 via goldoni 84 2^ piano; (z.d. 3),VIA,GOLDONI CARLO,84,3183.0,3,10.0,10,2,hotel marlene,,,17.0,17,Albergo
181,VIA GROSSI TOMMASO N. 1 licenza rilasciata dallo suap; (z.d. 1),VIA,GROSSI TOMMASO,1,105.0,1,106.0,0,5,park hyatt milano,,,212.0,0,Albergo
182,VIA HAJECH CAMILLO N. 18 (z.d. 4),VIA,HAJECH CAMILLO,18,3091.0,4,11.0,0,2,la caravella,,,16.0,0,
183,VIA HOEPLI ULRICO N. 6 (z.d. 1),VIA,HOEPLI ULRICO,6,190.0,1,109.0,,4,hotel de la ville,,,208.0,,Albergo
184,VIA INGEGNOLI FRANCESCO N. 20 (z.d. 3),VIA,INGEGNOLI FRANCESCO,20,2559.0,3,16.0,0,1,hotel adelchi lambrate,,,25.0,0,Albergo
185,VIA IPPODROMO N. 8 (z.d. 8),VIA,IPPODROMO,8,6492.0,8,116.0,,2,,,,232.0,,Residence
186,VIA JACOPO DELLA QUERCIA N. 6 (z.d. 7),VIA,JACOPO DELLA QUERCIA,6,6541.0,7,14.0,3;3;3;1,2,le quercie,4.0,R;1;2;M,24.0,4;5;4;3,Albergo
187,VIA JOMMELLI NICCOLO' N. 49 (z.d. 3),VIA,JOMMELLI NICCOLO',49,2426.0,3,10.0,,1,hotel venezia,,,17.0,,Albergo
188,VIA LAMBRATE N. 9 (z.d. 3),VIA,LAMBRATE,9,2421.0,3,67.0,3;2;8;9;9;9;7;6;10;4,3,pian della nave,9.0,T;R;1;2;3;4;5;6;7;8,200.0,8;6;24;27;27;27;21;18;30;12,Residence
189,VIA LAMPEDUSA N. 11 (z.d. 5),VIA,LAMPEDUSA,11,5329.0,5,328.0,,4,atahotel quark,,,736.0,,Albergo
190,VIA LAMPEDUSA num.011/a ; (z.d. 5),VIA,LAMPEDUSA,11/a,,5,106.0,17;4,4,quark due,7.0,1;2;3;4;5;6;7,229.0,36;13,Residence
191,VIA LARIO N. 40 (z.d. 9),VIA,LARIO,40,1171.0,9,7.0,0,1,albergo lario,,,17.0,0,Albergo
192,VIA LAZZARETTO N. 10 (z.d. 3),VIA,LAZZARETTO,10,2112.0,3,11.0,11,1,merano,1.0,1,25.0,25,Albergo
193,VIA LAZZARETTO N. 17 (z.d. 2),VIA,LAZZARETTO,17,2112.0,2,9.0,,1,pensione eva,2.0,,20.0,,Albergo
194,VIA LAZZARETTO N. 17 (z.d. 2),VIA,LAZZARETTO,17,2112.0,2,10.0,9,1,arno,1.0,4,16.0,14,Albergo
195,VIA LAZZARETTO N. 5 angolo finocchiaro aprile; (z.d. 2),VIA,LAZZARETTO,5,2112.0,2,103.0,0,4,nh machiavelli,,,203.0,0,Albergo
196,VIA LENTASIO N. 3 (z.d. 1),VIA,LENTASIO,3,410.0,1,64.0,18;18;14;10;3,4,ascot,5.0,1;2;3;4;5,99.0,24;24;22;17;6,Albergo
197,VIA LEPETIT ROBERTO N. 15 (z.d. 2),VIA,LEPETIT ROBERTO,15,2096.0,2,48.0,3;9;9;9;9;9,4,colombia,6.0,R;1;2;3;4;5,81.0,4;16;16;16;15;14,Albergo
198,VIA LEPETIT ROBERTO N. 33 (z.d. 2),VIA,LEPETIT ROBERTO,33,2096.0,2,57.0,12;12;11;10;8,3,florida,5.0,1;2;3;4;5,98.0,20;20;20;18;16,Albergo
199,VIA LEPETIT ROBERTO N. 7 (z.d. 2),VIA,LEPETIT ROBERTO,7,2096.0,2,25.0,6;7;7;5,1,boston,4.0,1;2;3;4,41.0,9;10;11;5,Albergo
200,VIA LEPONTINA N. 8 (z.d. 9),VIA,LEPONTINA,8,1147.0,9,60.0,25;20;15,3,mirage tre,3.0,1;2;3,82.0,36;31;15,Residence
201,VIA LIPPI FILIPPINO N. 28 (z.d. 3),VIA,LIPPI FILIPPINO,28,2196.0,3,22.0,,2,hotel gran sasso,,,39.0,,Albergo
202,VIA LIPPI FILIPPINO N. 43 (z.d. 3),VIA,LIPPI FILIPPINO,43,2196.0,3,7.0,2;3;2,1,ischia,3.0,1;2;3,12.0,4;5;3,Albergo
203,VIA LIPPI FILIPPINO N. 50 (z.d. 3),VIA,LIPPI FILIPPINO,50,2196.0,3,10.0,2;3,2,hotel trentina,3.0,T;1;2,20.0,4;2,Albergo
204,VIA LODOVICO IL MORO N. 117 (z.d. 6),VIA,LODOVICO IL MORO,117,5290.0,6,51.0,0,4,hotel cà bianca corte del naviglio,,,102.0,0,Albergo
205,VIA LOMBARDI RICCARDO N. 11 annessa dipendenza 3 stelle; (z.d. 7),VIA,LOMBARDI RICCARDO,11,6893.0,7,75.0,0,4,hotel silver,,,150.0,0,Albergo
206,VIA LORENTEGGIO num.278 ;,VIA,LORENTEGGIO,278,,,128.0,,4,IDEA HOTEL MILANO LORENTEGGIO,,,242.0,,Albergo
207,VIA LUDOVICO DI BREME N. 77 (z.d. 8),VIA,LUDOVICO DI BREME,77,7396.0,8,240.0,0,4,double tree by hilton milan,,,480.0,0,Albergo
208,VIA LULLI GIOVANNI N. 11 (z.d. 3),VIA,LULLI GIOVANNI,11,2253.0,3,22.0,,1,hotel loris,,,25.0,,Albergo
209,VIA LULLI GIOVANNI N. 18 (z.d. 3),VIA,LULLI GIOVANNI,18,2253.0,3,9.0,0,1,hotel new milano,3.0,,16.0,0,Albergo
210,VIA LULLI GIOVANNI N. 22 (z.d. 3),VIA,LULLI GIOVANNI,22,2253.0,3,11.0,0;0,2,astrid,,;,23.0,0;0,Albergo
211,VIA LULLI GIOVANNI N. 4 (z.d. 3),VIA,LULLI GIOVANNI,4,2253.0,3,9.0,,1,hotel viola,,,14.0,,Albergo
212,VIA MACCHI MAURO N. 1 (z.d. 2),VIA,MACCHI MAURO,1,2133.0,2,52.0,13;13;13;13,4,hotel mediolanum,4.0,1;2;3;4,93.0,25;25;25;23,Albergo
213,VIA MACCHI MAURO N. 49 (z.d. 2),VIA,MACCHI MAURO,49,2133.0,2,22.0,2;4;4;4;4;4,4,r.t.a. le gare,6.0,T;1;2;3;4;5,67.0,7;12;12;12;12;12,Albergo
214,VIA MACCHI MAURO N. 79 (z.d. 2),VIA,MACCHI MAURO,79,2133.0,2,31.0,31,4,residenza delle citta,,,93.0,93,Residence
215,VIA MAC MAHON num.045/a ; (z.d. 8),VIA,MAC MAHON,45/a,7221.0,8,24.0,,2,hotel mac mahon,,,44.0,,Albergo
216,VIA MANIN DANIELE N. 7 (z.d. 1),VIA,MANIN DANIELE,7,1052.0,1,119.0,16;17;17;17;18;16;18,4,hotel manin,7.0,1;2;3;4;5;6;7,183.0,23;26;25;25;26;28;30,Albergo
217,VIA MANZONI ALESSANDRO N. 29 (z.d. 1),VIA,MANZONI ALESSANDRO,29,230.0,1,102.0,20;22;26;12,5 STELLE LUSSO,grand hotel et de milan,5.0,1;2;3;4;5,158.0,31;33;32;38;24,Albergo
218,VIA MANZONI ALESSANDRO N. 31 (z.d. 1),VIA,MANZONI ALESSANDRO,31,230.0,1,95.0,,5 STELLE LUSSO,ARMANI HOTEL MILANO,,,190.0,,Albergo
219,VIA MARCELLO BENEDETTO N. 47 (z.d. 3),VIA,MARCELLO BENEDETTO,47,2128.0,3,10.0,0,2,hotel due giardini,,,21.0,0,Albergo
220,VIA MARCELLO BENEDETTO N. 59 (z.d. 3),VIA,MARCELLO BENEDETTO,59,2128.0,3,16.0,1;6;6;5,2,hotel rallye,4.0,T;1;2;3,25.0,2;9;9;5,Albergo
221,VIA MARCELLO BENEDETTO N. 83 (z.d. 3),VIA,MARCELLO BENEDETTO,83,2128.0,3,28.0,3;8;8,2,hotel the best,3.0,T;1;2,56.0,6;10;9,Albergo
222,VIA MARCO D'AGRATE N. 35 (z.d. 5),VIA,MARCO D'AGRATE,35,4276.0,5,52.0,4;8;8;8;8;8;8,3,hotel rex,7.0,R;1;2;3;4;5;6,104.0,8;16;16;16;16;16;16,Albergo
223,VIA MARCO POLO N. 13 (z.d. 9),VIA,MARCO POLO,13,1103.0,9,27.0,0,2,hotel trieste,,,62.0,0,Albergo
224,VIA MARGHERA N. 14 (z.d. 7),VIA,MARGHERA,14,6280.0,7,20.0,20,2,pensione fiorella,1.0,1,35.0,35,Albergo
225,VIA MARGHERA N. 2 (z.d. 7),VIA,MARGHERA,2,6280.0,7,50.0,16;6;12,3,hotel nuovo marghera,4.0,1;3;2,76.0,29;12;22,Albergo
226,VIA MASACCIO N. 19 (z.d. 8),VIA,MASACCIO,19,6420.0,8,288.0,0,5,melia  milano,,,487.0,0,Albergo
227,VIA MAZZINI GIUSEPPE N. 10 (z.d. 1),VIA,MAZZINI GIUSEPPE,10,516.0,1,14.0,,3,HOTEL LA MADONNINA,,,25.0,,Albergo
228,VIA MAZZINI GIUSEPPE N. 4 (z.d. 1),VIA,MAZZINI GIUSEPPE,4,516.0,1,38.0,,4,hotel sir edward,,,70.0,,Albergo
229,VIA MAZZINI GIUSEPPE N. 8 (z.d. 1),VIA,MAZZINI GIUSEPPE,8,516.0,1,42.0,8;7;7;7;7;7,3,rio,6.0,1;2;3;4;5;6,61.0,10;11;11;11;11;7,Albergo
230,VIA MECENATE N. 121 (z.d. 4),VIA,MECENATE,121,3323.0,4,208.0,,4,novotel milano linate aeroporto,,,416.0,,Albergo
231,VIA MELLONI MACEDONIO N. 17 (z.d. 4),VIA,MELLONI MACEDONIO,17,3085.0,4,16.0,,3,residencemignoncase tre,,,26.0,,Residence
232,VIA MERCATO N. 1 (z.d. 1),VIA,MERCATO,1,717.0,1,14.0,5;7,1,STYLE HOTEL,2.0,1;2,25.0,8;12,Albergo
233,VIA MESSINA N. 10 (z.d. 8),VIA,MESSINA,10,7211.0,8,131.0,0,4,hotel hermitage,,,262.0,0,Albergo
234,VIA MODENA GUSTAVO N. 20 (z.d. 3),VIA,MODENA GUSTAVO,20,3122.0,3,17.0,0,1,brasil,,,25.0,0,Albergo
235,VIA MODENA GUSTAVO N. 4 (z.d. 3),VIA,MODENA GUSTAVO,4,3122.0,3,37.0,1;7;7;7;7;4;4,4,residence international,7.0,T;1;2;3;4;5;6,59.0,1;11;11;11;11;7;7,Residence
236,VIA MOLINO DELLE ARMI N. 1 attivita' promiscua rta e albe; (z.d. 1),VIA,MOLINO DELLE ARMI,1,591.0,1,17.0,0,4,petit palais,,,23.0,0,Residence
237,VIA MONETA num.001/a ; (z.d. 1),VIA,MONETA,1/a,570.0,1,33.0,,3,gran duca di york,,,60.0,,Albergo
238,VIA MONTE ROSA N. 90 (z.d. 8),VIA,MONTE ROSA,90,6388.0,8,44.0,10;17,4,montebianco,3.0,T;1;2,79.0,16;25,Albergo
239,VIA MONTESSORI MARIA N. 14 (z.d. 4),VIA,MONTESSORI MARIA,14,3361.0,4,56.0,10;9;9;9;9;9,4,residence futura,6.0,1;2;3;4;5;6,133.0,24;22;22;21;21;20,Residence
240,VIA MORIGI N. 2 (z.d. 1),VIA,MORIGI,2,633.0,1,32.0,7;7;6;6;6;6,4,hotel mentana,6.0,1;2;3;4;5;6,48.0,10;10;10;9;9;9,Albergo
241,VIA MURAT GIOACCHINO N. 21 (z.d. 9),VIA,MURAT GIOACCHINO,21,1316.0,9,133.0,;;;;,4,contessa jolanda- attività promiscua 133 appartamenti (266 posti letto) e 9 camere albergo per 18 posti letto per un totale di 284 posti letto,8.0,4;5;3;7;2,266.0,;;;;,Residence
242,VIA MURATORI LODOVICO N. 14 (z.d. 4),VIA,MURATORI LODOVICO,14,4076.0,4,93.0,0,4,una hotel mediterraneo,,,206.0,0,Albergo
243,VIA MURATORI LODOVICO N. 5 (z.d. 4),VIA,MURATORI LODOVICO,5,4076.0,4,24.0,7;7;7;3,3,residence l m5,4.0,1;2;3;4,48.0,14;14;14;6,Residence
244,VIA NICOTERA GIOVANNI N. 9 (z.d. 9),VIA,NICOTERA GIOVANNI,9,1508.0,9,41.0,41,4,acca palace,,,82.0,82,Residence
245,VIA NOVARA N. 371 (z.d. 7),VIA,NOVARA,371,6624.0,7,18.0,0,2,hotel san siro fiera,,,33.0,0,Albergo
246,VIA OLGETTINA N. 60 (z.d. 3),VIA,OLGETTINA,60,2530.0,3,216.0,216,3,hotel rafael,,,439.0,439,Albergo
247,VIA ORNATO LUIGI N. 64 (z.d. 9),VIA,ORNATO LUIGI,64,1591.0,9,144.0,93;51,3,centro alberghiero ornato,2.0,1;2,252.0,141;80,Albergo
248,VIA ORSEOLO PIETRO N. 1 (z.d. 6),VIA,ORSEOLO PIETRO,1,5113.0,6,59.0,,4,,,,101.0,,Albergo
249,VIA ORSEOLO PIETRO N. 1 (z.d. 6),VIA,ORSEOLO PIETRO,1,5113.0,6,59.0,,4,MERCURE HOTEL,,,101.0,,Albergo
250,VIA OSIMO AUGUSTO N. 10 (z.d. 4),VIA,OSIMO AUGUSTO,10,4303.0,4,64.0,0,4,corvetto residence porto di mare,,,200.0,0,Residence
251,VIA OZANAM FEDERICO N. 12 (z.d. 3),VIA,OZANAM FEDERICO,12,2143.0,3,40.0,3;8;7;6,3,hotel napoleon,6.0,T;1;2;3;4;5,68.0,5;13;12;11,Albergo
252,VIA PAGANINI NICCOLO' N. 6 (z.d. 3),VIA,PAGANINI NICCOLO',6,2238.0,3,8.0,,1,hotel paganini,,,23.0,,Albergo
253,VIA PAGANINI NICCOLO' N. 7 (z.d. 3),VIA,PAGANINI NICCOLO',7,2238.0,3,18.0,,3,HOTEL DORE',,,39.0,,Albergo
254,VIA PALADINI ETTORE N. 7 (z.d. 3),VIA,PALADINI ETTORE,7,3236.0,3,63.0,8;7;4,3,residence bianca croce,9.0,R;1;2;3;4;5;6;7;8,115.0,14;13;5,Residence
255,VIA PALAZZI LAZZARO N. 18 (z.d. 3),VIA,PALAZZI LAZZARO,18,2171.0,3,79.0,3;15;15;15;11;4;0,4,hotel sanpi,6.0,T;1;2;3;4;5;,160.0,6;26;26;26;25;10;0,Albergo
256,VIA PALLADIO ANDREA N. 8 (z.d. 5),VIA,PALLADIO ANDREA,8,4213.0,5,48.0,7;2;10;5;11;4,1,albergo palladio,7.0,T;1;2;3;4;5;6,82.0,11;3;18;10;4,Albergo
257,VIA PALMANOVA N. 153 (z.d. 2),VIA,PALMANOVA,153,2390.0,2,59.0,,,HOTEL ADAM,,,99.0,,Albergo
258,VIA PALMIERI NICOLA N. 64 (z.d. 5),VIA,PALMIERI NICOLA,64,5323.0,5,23.0,23,3,hotel autosole 2,,,46.0,46,Albergo
259,VIA PANIZZA BARTOLOMEO N. 5 2^  e 4° piano; (z.d. 7),VIA,PANIZZA BARTOLOMEO,5,6208.0,7,16.0,0,3,hotel panizza,,,32.0,0,Albergo
260,VIA PANTANO N. 8 (z.d. 1),VIA,PANTANO,8,334.0,1,38.0,0,4,residence vip s,,,99.0,0,Residence
261,VIA PAPI LAZZARO N. 18 (z.d. 4),VIA,PAPI LAZZARO,18,4071.0,4,36.0,2;3;10;10;10,3,hotel di porta romana,5.0,1;3;4;5;6,67.0,3;5;14;14;14,Albergo
262,VIA PECCHIO GIUSEPPE N. 2 (z.d. 3),VIA,PECCHIO GIUSEPPE,2,2240.0,3,26.0,0,4,hotel del corso,,,45.0,0,Albergo
263,VIA PELLIZZONE ANDREA N. 12 (z.d. 3),VIA,PELLIZZONE ANDREA,12,3314.0,3,34.0,4;6;12;6;6,3,majorca,5.0,T;1;2;3;4,53.0,9;10;18;10;6,Albergo
264,VIA PERUGINO N. 12 (z.d. 4),VIA,PERUGINO,12,3198.0,4,32.0,5;6;6;6,3,hotel perugino,4.0,1;2;3;4,54.0,7;7;10;10,Albergo
265,VIA PESTALOZZA ALESSANDRO N. 28 (z.d. 3),VIA,PESTALOZZA ALESSANDRO,28,2248.0,3,13.0,2;4;4;3,2,hotel piola,4.0,T;1;2;3,25.0,3;8;8;6,Albergo
266,VIA PIACENZA N. 4 (z.d. 5),VIA,PIACENZA,4,4064.0,5,24.0,3;21,3,hotel piacenza,2.0,R;1,34.0,4;30,Albergo
267,VIA PICCINNI NICOLA N. 25 (z.d. 3),VIA,PICCINNI NICOLA,25,2236.0,3,11.0,11,1,hotel san marco,1.0,,24.0,24,Albergo
268,VIA PIERLUIGI GIOVANNI DA PALESTRINA num.030 ; (z.d. 2),VIA,PIERLUIGI GIOVANNI DA PALESTRINA,30,,2,45.0,20;19;6,2,hotel virgilio,3.0,5;6;7,63.0,32;25;6,Albergo
269,VIA PIERO DELLA FRANCESCA N. 39 (z.d. 8),VIA,PIERO DELLA FRANCESCA,39,7188.0,8,24.0,7,3,hotel losanna,,2,47.0,10,Albergo
270,VIA PIERO DELLA FRANCESCA N. 48 (z.d. 8),VIA,PIERO DELLA FRANCESCA,48,7188.0,8,25.0,5;8;8;4,2,hotel parma,4.0,R;1;2;3,40.0,6;22;22;4,Albergo
271,VIA PIERO DELLA FRANCESCA N. 60 (z.d. 8),VIA,PIERO DELLA FRANCESCA,60,7188.0,8,31.0,0,3,piccolo hotel,,,53.0,0,Albergo
272,VIA PIERO DELLA FRANCESCA num.004/7 ; (z.d. 8),VIA,PIERO DELLA FRANCESCA,4/7,,8,10.0,0,2,locanda gelsomina,1.0,,25.0,0,Albergo
273,VIA PIRELLI GIOVANNI BATTISTA N. 5 (z.d. 2),VIA,PIRELLI GIOVANNI BATTISTA,5,1195.0,2,10.0,0,2,hotel stazione,,,23.0,0,Albergo
274,VIA PIRELLI GIOVANNI BATTISTA N. 5 (z.d. 2),VIA,PIRELLI GIOVANNI BATTISTA,5,1195.0,2,69.0,10;16;16;16;13,3,hotel new york,5.0,2;3;4;5;6,132.0,15;29;29;29;16,Albergo
275,VIA PIRELLI GIOVANNI BATTISTA N. 7 (z.d. 2),VIA,PIRELLI GIOVANNI BATTISTA,7,1195.0,2,52.0,0,4,auriga,,,91.0,0,Albergo
276,VIA PLINIO CAIO SECONDO N. 22 (z.d. 3),VIA,PLINIO CAIO SECONDO,22,2144.0,3,14.0,,1,ambrosiana,,,22.0,,Albergo
277,VIA PLINIO CAIO SECONDO N. 22 (z.d. 3),VIA,PLINIO CAIO SECONDO,22,2144.0,3,16.0,0,1,ambrosiana,,,22.0,0,Albergo
278,VIA PLINIO CAIO SECONDO N. 2 (z.d. 3),VIA,PLINIO CAIO SECONDO,2,2144.0,3,43.0,7;7;7;11;4,3,hotel demidoff,5.0,1;2;3;4;5,65.0,10;10;10;16;4,Albergo
279,VIA POERIO CARLO N. 32 (z.d. 3),VIA,POERIO CARLO,32,3181.0,3,13.0,2;5;5;2,1,albergo poerio,4.0,T;1;2;3,20.0,4;7;7;2,Albergo
280,VIA POLA N. 4 (z.d. 2),VIA,POLA,4,1156.0,2,39.0,,4,residence pola,,,52.0,,Residence
281,VIA POLIZIANO N. 11 (z.d. 8),VIA,POLIZIANO,11,7196.0,8,100.0,16;16;16;16;11;11;7;7,4,hotel poliziano fiera,8.0,1;2;3;4;5;6;7;8,204.0,32;32;32;32;22;22;16;16,Albergo
282,VIA POLONIA N. 10 (z.d. 8),VIA,POLONIA,10,7505.0,8,162.0,162,4,the hub,,,306.0,306,Albergo
283,VIA POMPONAZZI PIETRO N. 3 rta due stelle-appartam 7-14pl; (z.d. 5),VIA,POMPONAZZI PIETRO,3,5246.0,5,7.0,7,3,residenza chiaralba,,,14.0,14,Residence
284,VIA PONTE SEVESO N. 38 (z.d. 2),VIA,PONTE SEVESO,38,1203.0,2,47.0,0,3,hotel terminal,,,95.0,0,Albergo
285,VIA PORLEZZA N. 4 (z.d. 1),VIA,PORLEZZA,4,611.0,1,36.0,0,3,hotel genius down town,,,60.0,0,Albergo
286,VIA PORPORA NICOLA ANTONIO N. 132 (z.d. 3),VIA,PORPORA NICOLA ANTONIO,132,2229.0,3,7.0,7,1,hotela alba,,,12.0,12,Albergo
287,VIA PORPORA NICOLA ANTONIO N. 143 (z.d. 3),VIA,PORPORA NICOLA ANTONIO,143,2229.0,3,10.0,0,1,hotel chopin,,,21.0,0,Albergo
288,VIA PORPORA NICOLA ANTONIO N. 16 (z.d. 3),VIA,PORPORA NICOLA ANTONIO,16,2229.0,3,10.0,3;4,1,paola,3.0,R;1;2,24.0,4;7,Albergo
289,VIA PORPORA NICOLA ANTONIO N. 170 (z.d. 3),VIA,PORPORA NICOLA ANTONIO,170,2229.0,3,11.0,1;4,2,albergo iride,3.0,T;1;2,19.0,2;7,Albergo
290,VIA PORPORA NICOLA ANTONIO N. 18 (z.d. 3),VIA,PORPORA NICOLA ANTONIO,18,2229.0,3,11.0,3;4;4,2,hotel nizza,3.0,R;1;2,23.0,4;7;6,Albergo
291,VIA PORPORA NICOLA ANTONIO N. 52 (z.d. 3),VIA,PORPORA NICOLA ANTONIO,52,2229.0,3,10.0,3;3;2,1,pensione oriente,3.0,T;1;2,19.0,6;6;3,Albergo
292,VIA PORPORA NICOLA ANTONIO N. 56 (z.d. 3),VIA,PORPORA NICOLA ANTONIO,56,2229.0,3,18.0,4;6;2,3,hotel etrusco,4.0,R;1;2;3,21.0,4;7;3,Albergo
293,VIA PORPORA NICOLA ANTONIO N. 87 (z.d. 3),VIA,PORPORA NICOLA ANTONIO,87,2229.0,3,18.0,,1,hotel ca  grande,,,21.0,,Albergo
294,VIA PORRO EDOARDO N. 8 (z.d. 9),VIA,PORRO EDOARDO,8,1226.0,9,13.0,13,3,hotel ares,,,21.0,21,Albergo
295,VIA PRATI GIOVANNI N. 6 (z.d. 8),VIA,PRATI GIOVANNI,6,7149.0,8,31.0,1;10;10;10,3,hotel johnny,4.0,T;1;2;3,69.0,2;16;36;36,Albergo
296,VIA PRINCIPE EUGENIO N. 45 (z.d. 8),VIA,PRINCIPE EUGENIO,45,7223.0,8,10.0,,2,mary hotel fiera,,,25.0,,Albergo
297,VIA QUARNERO N. 4 (z.d. 7),VIA,QUARNERO,4,6263.0,7,11.0,1;5;5,1,amalfi,3.0,R;1;2,24.0,3;8;9,Albergo
